Price,Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,RSI,Returns,Volatility
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,
0,2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468,RELIANCE.NS,,,,,
1,2020-01-02,686.8212280273438,689.3487905881979,676.397899264457,676.397899264457,17710316,RELIANCE.NS,,,,0.017024429093664528,
2,2020-01-03,687.6488647460938,689.6619561224467,681.3187895160008,685.7923126356704,20984698,RELIANCE.NS,,,,0.0012050249540584979,
3,2020-01-06,671.70068359375,683.5107670428088,670.13493269889,679.9767186772816,24519177,RELIANCE.NS,,,,-0.02319233255512232,
4,2020-01-07,682.0345458984375,686.4633346701793,677.0688889990518,679.5293205694625,16683622,RELIANCE.NS,,,,0.015384623772301431,
5,2020-01-08,676.912353515625,686.440941615489,675.5032015883575,677.7399630034671,16047902,RELIANCE.NS,,,,-0.007510165597352625,
6,2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742,RELIANCE.NS,,,,0.02303144700362436,
7,2020-01-10,692.3460083007812,696.9537331994524,688.7671661721967,694.247234586273,12478359,RELIANCE.NS,,,,-0.00022615973628681285,
8,2020-01-13,690.5790405273438,697.289325272827,688.2080768341074,691.182979891191,18282382,RELIANCE.NS,,,,-0.0025521455345343114,
9,2020-01-14,684.181884765625,693.3973351908096,680.8043754201078,688.9238120878065,15816535,RELIANCE.NS,,,,-0.0092634664336666,
10,2020-01-15,681.6990356445312,688.8790573291237,679.1938699492092,687.0672990416617,15817859,RELIANCE.NS,,,,-0.003628931394382473,
11,2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975,RELIANCE.NS,,,,0.009219929846627561,
12,2020-01-17,707.2653198242188,709.0323441677112,694.8288990509899,694.9631011634697,29463471,RELIANCE.NS,,,,0.028025447984347585,
13,2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850,RELIANCE.NS,,,54.33250863799512,-0.030771753308534322,
14,2020-01-21,686.1949462890625,691.5408127343894,680.8714169985212,683.8239827310947,18922720,RELIANCE.NS,,,54.60053892425925,0.0010115519571851639,
15,2020-01-22,685.9489135742188,691.9434536836012,684.9423678831845,690.71323780845,10322817,RELIANCE.NS,,,49.591977032863376,-0.00035854638127885696,
16,2020-01-23,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739,RELIANCE.NS,,,47.88588666293652,-0.004239056030798216,
17,2020-01-24,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445,RELIANCE.NS,,,54.70104062367043,-0.0034712883075300738,
18,2020-01-27,673.9598388671875,681.9674704241261,673.2664314282462,677.6952802850295,13387750,RELIANCE.NS,,,45.600797001401936,-0.009858323531740543,
19,2020-01-28,658.3919067382812,675.5031818296184,654.7459935025485,674.8768456496997,24532236,RELIANCE.NS,683.5354217529297,,40.940924145812666,-0.023099198544342503,
20,2020-01-29,662.0154418945312,668.5243925324733,654.9472262974796,659.4207487202938,24746565,RELIANCE.NS,682.8699829101563,,33.11027945866549,0.0055036143657980485,0.014959636510757766
21,2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689,RELIANCE.NS,680.8222229003907,,28.1263392277546,-0.024394316265923033,0.015214117380922189
22,2020-01-31,631.5060424804688,650.115939458839,629.5153479649114,650.004074503463,34750310,RELIANCE.NS,678.0150817871094,,25.145886169241308,-0.022233690475661705,0.015769081053211786
23,2020-02-03,619.8077392578125,626.2720164126083,609.7646795449248,612.8290505582687,30712290,RELIANCE.NS,675.4204345703125,,24.07208739773442,-0.018524451764082794,0.015504436233225451
24,2020-02-04,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901,RELIANCE.NS,673.2239318847656,,34.42546167382247,0.029520045928430827,0.01670535965336229
25,2020-02-05,647.990966796875,649.9145900708021,639.8491930659694,641.9069587229454,18472100,RELIANCE.NS,671.7778625488281,,36.0704722497872,0.015493504168075933,0.017177567370108695
26,2020-02-06,652.1513671875,656.267018049872,644.2332634474068,650.496207815146,15538577,RELIANCE.NS,669.7602996826172,,28.54404901246555,0.006420460475229373,0.016279607948861883
27,2020-02-07,641.3478393554688,649.7133433335028,638.9544787429636,649.1094039600182,12209212,RELIANCE.NS,667.2103912353516,,31.207175322178742,-0.016565982033623694,0.0165476725358418
28,2020-02-10,642.2200927734375,646.6488813487252,630.9691553464403,638.8201869242226,15142476,RELIANCE.NS,664.7924438476563,,31.311740067377784,0.0013600317401012418,0.016584891100410705
29,2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816,RELIANCE.NS,663.0779602050782,,35.586517783816674,0.011946245885102735,0.016872090376829768
30,2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565,RELIANCE.NS,661.8801727294922,,40.271783572063626,0.012080579017291315,0.017176378365742442
31,2020-02-13,659.4656372070312,661.0761223794466,654.2987062507549,661.0761223794466,13565659,RELIANCE.NS,660.4542419433594,,41.80499794779376,0.002618576442406928,0.017019278168292188
32,2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841,RELIANCE.NS,658.365103149414,,46.706082122648,0.009123912450941463,0.0157424789920106
33,2020-02-17,661.2997436523438,673.7808982963232,659.5327193324579,666.108801931165,13149130,RELIANCE.NS,657.1550140380859,,51.23953051760455,-0.006285364403656679,0.014353446054370682
34,2020-02-18,656.4459228515625,660.248435272722,651.9723999060855,660.248435272722,11127161,RELIANCE.NS,655.6675628662109,,47.65051111444112,-0.007339819571037021,0.014391911069798818
35,2020-02-19,672.7295532226562,673.9150349477495,659.8905275306022,661.7917537765035,14084409,RELIANCE.NS,655.0065948486329,,61.319498881763174,0.02480574530855284,0.015602634760456622
36,2020-02-20,664.744384765625,674.6085086758875,663.7825731086709,669.6876451612479,16892268,RELIANCE.NS,654.0917572021484,,64.80080578924566,-0.011869804765940462,0.015781960224548273
37,2020-02-24,646.40283203125,660.7404777544862,643.9871345353313,657.4971707893623,21370214,RELIANCE.NS,652.3783935546875,,61.18109549249947,-0.027591888182465607,0.016847242174180932
38,2020-02-25,633.6309204101562,649.2882495489266,630.7678229370605,649.2882495489266,27745062,RELIANCE.NS,650.361947631836,,48.02759510035194,-0.019758440075145378,0.017217905020037134
39,2020-02-26,622.7154541015625,631.8190982347916,620.6352917833475,630.7678186366056,29362748,RELIANCE.NS,648.578125,,38.956194296137866,-0.017226852347306587,0.016903222555754924
40,2020-02-27,620.1432495117188,623.5207586374837,612.4263599498594,620.9260652375485,25054993,RELIANCE.NS,646.4845153808594,,35.81763572904006,-0.004130625910922392,0.01679568980108132
41,2020-02-28,594.3756103515625,607.0580958283585,592.7427884250544,606.1186214911856,39315769,RELIANCE.NS,643.9099945068359,,31.624038154345158,-0.0415511080390617,0.018309019154405953
42,2020-03-02,588.7838745117188,612.4264415419138,582.0511925175142,606.2082308653773,29500495,RELIANCE.NS,641.7738861083984,,29.839707646642978,-0.009407747798629074,0.017855208827939666
43,2020-03-03,600.7280883789062,605.6713484615526,591.4007735026032,594.8454135797672,27398798,RELIANCE.NS,640.8199035644532,,32.030719137087246,0.020286244892649075,0.01822375776107203
44,2020-03-04,599.3189697265625,605.6266480626504,585.0931280116588,604.821435403794,22105261,RELIANCE.NS,638.8806274414062,,27.59090998476445,-0.0023456846443560275,0.01670777487547892
45,2020-03-05,586.5469970703125,607.4831207123542,584.2431048990697,604.9108243565992,30510390,RELIANCE.NS,635.8084289550782,,24.21695842294929,-0.021310809938282382,0.016590456030313346
